 7.5197

    7.3126

    7.7899

    7.3765

    7.9345

    7.4955

    7.6261

    7.5358

    7.7311

    7.6261

    7.8544

Training Started
Training on single GPU.
|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|        17250 |        17250 |       264.77 |       1.1953 |       60.00% |       0.0100 |
|        17300 |        17300 |       265.52 |       1.1160 |       90.00% |       0.0100 |
|        17350 |        17350 |       266.27 |       1.5688 |       10.00% |       0.0100 |
|        17400 |        17400 |       267.02 |       1.4466 |       10.00% |       0.0100 |
|        17450 |        17450 |       267.77 |       1.1218 |       60.00% |       0.0100 |
|        17500 |        17500 |       268.52 |       1.1050 |       80.00% |       0.0100 |
|        17550 |        17550 |       269.27 |       2.1493 |       10.00% |       0.0100 |
|        17600 |        17600 |       270.03 |       1.6757 |       10.00% |       0.0100 |
|        17650 |        17650 |       270.79 |       1.1112 |       90.00% |       0.0100 |
|        17700 |        17700 |       271.54 |       1.0972 |       90.00% |       0.0100 |
|        17750 |        17750 |       272.30 |       1.1393 |       60.00% |       0.0100 |
|        17800 |        17800 |       273.06 |       1.6895 |       10.00% |       0.0100 |
|        17850 |        17850 |       273.81 |       1.4685 |       20.00% |       0.0100 |
|        17900 |        17900 |       274.57 |       1.4498 |       20.00% |       0.0100 |
|        17950 |        17950 |       275.32 |       1.7884 |       10.00% |       0.0100 |
|        18000 |        18000 |       276.08 |       1.5680 |       10.00% |       0.0100 |
|        18050 |        18050 |       276.84 |       1.0895 |       90.00% |       0.0100 |
|        18100 |        18100 |       277.60 |       1.0834 |       80.00% |       0.0100 |
|        18150 |        18150 |       278.35 |       1.0809 |       70.00% |       0.0100 |
|        18200 |        18200 |       279.11 |       1.4588 |       10.00% |       0.0100 |
|        18250 |        18250 |       279.86 |       1.4728 |       20.00% |       0.0100 |
|        18300 |        18300 |       280.62 |       1.0782 |       90.00% |       0.0100 |
|        18350 |        18350 |       281.38 |       1.2701 |       30.00% |       0.0100 |
|        18400 |        18400 |       282.13 |       1.1067 |       60.00% |       0.0100 |
|        18450 |        18450 |       282.88 |       1.3395 |       20.00% |       0.0100 |
|        18500 |        18500 |       283.63 |       1.0784 |       90.00% |       0.0100 |
|        18550 |        18550 |       284.38 |       1.0701 |       70.00% |       0.0100 |
|        18600 |        18600 |       285.14 |       1.1150 |       60.00% |       0.0100 |
|        18650 |        18650 |       285.88 |       1.0697 |       90.00% |       0.0100 |
|        18700 |        18700 |       286.63 |       1.3438 |       20.00% |       0.0100 |
|        18750 |        18750 |       287.38 |       1.6350 |       10.00% |       0.0100 |
|        18800 |        18800 |       288.12 |       1.3627 |       30.00% |       0.0100 |
|        18850 |        18850 |       288.88 |       1.6521 |       10.00% |       0.0100 |
|        18900 |        18900 |       289.64 |       1.0892 |       60.00% |       0.0100 |
|        18950 |        18950 |       290.41 |       1.0561 |       90.00% |       0.0100 |
|        19000 |        19000 |       291.35 |       1.3538 |       20.00% |       0.0100 |
|        19050 |        19050 |       292.10 |       1.4823 |       10.00% |       0.0100 |
|        19100 |        19100 |       292.85 |       1.0542 |       80.00% |       0.0100 |
|        19150 |        19150 |       293.60 |       1.0577 |       70.00% |       0.0100 |
|        19200 |        19200 |       294.35 |       1.0497 |       90.00% |       0.0100 |
|        19250 |        19250 |       295.10 |       1.0465 |       70.00% |       0.0100 |
|        19300 |        19300 |       295.85 |       1.1243 |       60.00% |       0.0100 |
|        19350 |        19350 |       296.67 |       1.2841 |       20.00% |       0.0100 |
|        19400 |        19400 |       297.44 |       1.0439 |       90.00% |       0.0100 |
|        19450 |        19450 |       298.42 |       1.1157 |       60.00% |       0.0100 |
|        19500 |        19500 |       299.28 |       1.3071 |       20.00% |       0.0100 |
|        19550 |        19550 |       300.15 |       1.2752 |       20.00% |       0.0100 |
|        19600 |        19600 |       301.30 |       1.1881 |       50.00% |       0.0100 |
|        19650 |        19650 |       302.32 |       1.0487 |       60.00% |       0.0100 |
|        19700 |        19700 |       303.31 |       1.0358 |       90.00% |       0.0100 |
|        19750 |        19750 |       304.29 |       1.0336 |       90.00% |       0.0100 |
|        19800 |        19800 |       305.26 |       1.0315 |       70.00% |       0.0100 |
|        19850 |        19850 |       306.25 |       1.0295 |       70.00% |       0.0100 |
|        19900 |        19900 |       307.28 |       1.0281 |       90.00% |       0.0100 |
|        19950 |        19950 |       308.33 |       1.4801 |       20.00% |       0.0100 |
|        20000 |        20000 |       309.10 |       1.3520 |       10.00% |       0.0100 |
|        20050 |        20050 |       309.87 |       1.0283 |       90.00% |       0.0100 |
|        20100 |        20100 |       310.65 |       1.7262 |       10.00% |       0.0100 |
|        20150 |        20150 |       311.41 |       1.6357 |       10.00% |       0.0100 |
|        20200 |        20200 |       312.18 |       1.1858 |       30.00% |       0.0100 |
|        20250 |        20250 |       312.95 |       1.0551 |       60.00% |       0.0100 |
|        20300 |        20300 |       313.72 |       1.0196 |       90.00% |       0.0100 |
|        20350 |        20350 |       314.49 |       1.0175 |       90.00% |       0.0100 |
|        20400 |        20400 |       315.26 |       1.0155 |       90.00% |       0.0100 |
|        20450 |        20450 |       316.03 |       1.0136 |       90.00% |       0.0100 |
|        20500 |        20500 |       316.79 |       1.0117 |       80.00% |       0.0100 |
|        20550 |        20550 |       317.56 |       1.0099 |       70.00% |       0.0100 |
|        20600 |        20600 |       318.33 |       1.1209 |       50.00% |       0.0100 |
|        20650 |        20650 |       319.09 |       1.2754 |       20.00% |       0.0100 |
|        20700 |        20700 |       319.85 |       1.3415 |       20.00% |       0.0100 |
|        20750 |        20750 |       320.62 |       1.6117 |       10.00% |       0.0100 |
|        20800 |        20800 |       321.39 |       1.0094 |       90.00% |       0.0100 |
|        20850 |        20850 |       322.15 |       1.0041 |       90.00% |       0.0100 |
|        20900 |        20900 |       322.91 |       1.0022 |       90.00% |       0.0100 |
|        20950 |        20950 |       323.67 |       1.0363 |       70.00% |       0.0100 |
|        21000 |        21000 |       324.44 |       1.0858 |       60.00% |       0.0100 |
|        21050 |        21050 |       325.21 |       1.4013 |       20.00% |       0.0100 |
|        21100 |        21100 |       325.97 |       1.1743 |       40.00% |       0.0100 |
|        21150 |        21150 |       326.74 |       1.0691 |       60.00% |       0.0100 |
|        21200 |        21200 |       327.51 |       1.1810 |       60.00% |       0.0100 |
|        21250 |        21250 |       328.29 |       1.3042 |       30.00% |       0.0100 |
|        21300 |        21300 |       329.05 |       2.2916 |       10.00% |       0.0100 |
|        21350 |        21350 |       329.82 |       1.0090 |       80.00% |       0.0100 |
|        21400 |        21400 |       330.59 |       0.9920 |       90.00% |       0.0100 |
|        21450 |        21450 |       331.36 |       0.9898 |       80.00% |       0.0100 |
|        21500 |        21500 |       332.13 |       0.9881 |       80.00% |       0.0100 |
|        21550 |        21550 |       332.90 |       0.9863 |       80.00% |       0.0100 |
|        21600 |        21600 |       333.66 |       0.9846 |       90.00% |       0.0100 |
|        21650 |        21650 |       334.42 |       0.9861 |       70.00% |       0.0100 |
|        21700 |        21700 |       335.19 |       1.1128 |       50.00% |       0.0100 |
|        21750 |        21750 |       335.95 |       1.0577 |       60.00% |       0.0100 |
|        21800 |        21800 |       336.71 |       1.0418 |       60.00% |       0.0100 |
|        21850 |        21850 |       337.48 |       1.9475 |       10.00% |       0.0100 |
|        21900 |        21900 |       338.25 |       1.0112 |       60.00% |       0.0100 |
|        21950 |        21950 |       339.01 |       1.2109 |       40.00% |       0.0100 |
|        22000 |        22000 |       339.78 |       1.8402 |       10.00% |       0.0100 |
|        22050 |        22050 |       340.55 |       1.0040 |       70.00% |       0.0100 |
|        22100 |        22100 |       341.31 |       1.1395 |       60.00% |       0.0100 |
|        22150 |        22150 |       342.08 |       0.9797 |       70.00% |       0.0100 |
|        22200 |        22200 |       342.85 |       0.9745 |       90.00% |       0.0100 |
|        22250 |        22250 |       343.61 |       0.9727 |       90.00% |       0.0100 |
|        22300 |        22300 |       344.37 |       0.9711 |       90.00% |       0.0100 |
|        22350 |        22350 |       345.15 |       0.9695 |       90.00% |       0.0100 |
|        22400 |        22400 |       345.91 |       0.9679 |       90.00% |       0.0100 |
|        22450 |        22450 |       346.67 |       0.9663 |       90.00% |       0.0100 |
|        22500 |        22500 |       347.44 |       0.9647 |       90.00% |       0.0100 |
|        22550 |        22550 |       348.21 |       0.9632 |       90.00% |       0.0100 |
|        22600 |        22600 |       348.98 |       0.9617 |       90.00% |       0.0100 |
|        22650 |        22650 |       349.75 |       0.9619 |       70.00% |       0.0100 |
|        22700 |        22700 |       350.52 |       1.2535 |       40.00% |       0.0100 |
|        22750 |        22750 |       351.29 |       1.1887 |       40.00% |       0.0100 |
|        22800 |        22800 |       352.06 |       1.8151 |       10.00% |       0.0100 |
|        22850 |        22850 |       352.83 |       1.7013 |       10.00% |       0.0100 |
|        22900 |        22900 |       353.60 |       2.3361 |       10.00% |       0.0100 |
|        22950 |        22950 |       354.37 |       1.5345 |       10.00% |       0.0100 |
|        23000 |        23000 |       355.14 |       1.4692 |       30.00% |       0.0100 |
|        23050 |        23050 |       355.91 |       1.1228 |       90.00% |       0.0100 |
|        23100 |        23100 |       356.67 |       1.0271 |       70.00% |       0.0100 |
|        23150 |        23150 |       357.44 |       1.0206 |       70.00% |       0.0100 |
|        23200 |        23200 |       358.22 |       1.0175 |       70.00% |       0.0100 |
|        23250 |        23250 |       358.98 |       1.0151 |       70.00% |       0.0100 |
|        23300 |        23300 |       359.74 |       1.0129 |       70.00% |       0.0100 |
|        23350 |        23350 |       360.51 |       1.0107 |       70.00% |       0.0100 |
|        23400 |        23400 |       361.28 |       1.0087 |       70.00% |       0.0100 |
|        23450 |        23450 |       362.04 |       1.0066 |       80.00% |       0.0100 |
|        23500 |        23500 |       362.81 |       1.0046 |       80.00% |       0.0100 |
|        23550 |        23550 |       363.57 |       1.0026 |       90.00% |       0.0100 |
|        23600 |        23600 |       364.33 |       1.0006 |       90.00% |       0.0100 |
|        23650 |        23650 |       365.09 |       0.9987 |       90.00% |       0.0100 |
|        23700 |        23700 |       365.86 |       0.9968 |       90.00% |       0.0100 |
|=========================================================================================|
Elapsed time is 366.128003 seconds.
Training Complete
     t1 
     t2 
     t3 
     t4 
     t5 
     t6 
     t10 
     t8 
     t9 
     t10 
     t5 

    0.2580    0.0805    0.0002    0.0064    0.0007    0.0675    0.0000    0.2570    0.0805    0.2434    0.0057
    0.0084    0.0000    0.0000    0.6382    0.0000    0.3256    0.0000    0.0240    0.0000    0.0038    0.0000
    0.0007    0.0503    0.0000    0.0000    0.4108    0.0000    0.1901    0.0002    0.0503    0.0016    0.2959
    0.0488    0.0007    0.0000    0.3692    0.0000    0.4500    0.0000    0.1034    0.0007    0.0273    0.0000
    0.0000    0.0018    0.0000    0.0000    0.1764    0.0000    0.7682    0.0000    0.0018    0.0000    0.0518
    0.2551    0.0462    0.0002    0.0171    0.0002    0.1236    0.0000    0.2895    0.0462    0.2198    0.0021
    0.0859    0.2814    0.0001    0.0000    0.0459    0.0016    0.0006    0.0487    0.2814    0.1197    0.1346
    0.2470    0.1109    0.0002    0.0032    0.0015    0.0428    0.0000    0.2254    0.1109    0.2475    0.0106
    0.0052    0.1367    0.0000    0.0000    0.3101    0.0000    0.0456    0.0018    0.1367    0.0102    0.3536
    0.0859    0.2814    0.0001    0.0000    0.0459    0.0016    0.0006    0.0487    0.2814    0.1197    0.1346
    0.0001    0.0123    0.0000    0.0000    0.3418    0.0000    0.4748    0.0000    0.0123    0.0002    0.1585
